run_id,crop_mode,batch_size,class_name,sample_count,patient_count,mean_reconstruction_error,std_reconstruction_error,detected_count,detection_rate
ae_mse_l256,none,32,CNV,250,178,0.0026424490720964,0.0010613643599248,243,0.972
ae_mse_l256,none,32,DME,250,167,0.0024387666010297,0.0014911046922387,207,0.828
ae_mse_l256,none,32,DRUSEN,250,169,0.001257896128809,0.0006646723999463,88,0.352
ae_mse_l256,none,32,NORMAL,250,171,0.0008193967299303,0.0002952892447307,12,0.048
ae_mse_l256_bs16,none,16,CNV,250,178,0.0027448244022671,0.0010724561679181,243,0.972
ae_mse_l256_bs16,none,16,DME,250,167,0.0025445046988315,0.0015265677263918,208,0.832
ae_mse_l256_bs16,none,16,DRUSEN,250,169,0.001267965684412,0.0005937692109366,88,0.352
ae_mse_l256_bs16,none,16,NORMAL,250,171,0.0008403462471906,0.000279812625452,14,0.056
ae_mse_l256_bs16_crop,content,16,CNV,250,178,0.0029103297116234,0.0009784504292482,228,0.912
ae_mse_l256_bs16_crop,content,16,DME,250,167,0.0024661306457128,0.0012868397699763,183,0.732
ae_mse_l256_bs16_crop,content,16,DRUSEN,250,169,0.0016151623236946,0.0007818675026857,91,0.364
ae_mse_l256_bs16_crop,content,16,NORMAL,250,171,0.0010667592370882,0.0004336619055805,20,0.08
ae_mse_l256_bs32_retina_margin,retina_margin,32,CNV,250,178,0.0028854125328361,0.001105687214635,235,0.94
ae_mse_l256_bs32_retina_margin,retina_margin,32,DME,250,167,0.0024044615933671,0.0013721014404712,190,0.76
ae_mse_l256_bs32_retina_margin,retina_margin,32,DRUSEN,250,169,0.0014665392248425,0.0007031798240495,96,0.384
ae_mse_l256_bs32_retina_margin,retina_margin,32,NORMAL,250,171,0.0009615350996609,0.0004011812069096,20,0.08
