category,run_id,model_type,loss_type,score_mode,latent_dim,batch_size,crop_mode,image_size,threshold_percentile,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp,drusen_detected,drusen_detection_rate,train_pathology_count,train_val_patient_overlap,artifact,note
training_run,ae_l1_l128,ae,l1,l1,128,32,none,128,95,0.8459306666666666,0.699,0.9535353535353536,0.6293333333333333,0.7582329317269076,0.092,227,23,278,472,66,0.264,0,0,outputs/experiments/ae_l1_l128,L1 loss denemesi; MSE baseline'a göre belirgin zayıf kaldı.
training_run,ae_mse_l128,ae,mse,mse,128,32,none,128,95,0.9103786666666667,0.774,0.9763636363636363,0.716,0.8261538461538461,0.052,237,13,213,537,88,0.352,0,0,outputs/experiments/ae_mse_l128,Ana 40 epoch AE-MSE baseline; score ablation ile güçlü sonuç verdi ancak 60 epoch denemesi tarafından geçildi.
training_run,ae_mse_l128_e60,ae,mse,mse,128,32,none,128,95,0.911216,0.771,0.9744990892531876,0.7133333333333334,0.8237105465742879,0.056,236,14,215,535,84,0.336,0,0,outputs/experiments/ae_mse_l128_e60,AE-MSE latent 128 için 60 epoch denemesi; validation loss ve top-k score metriklerinde 40 epoch koşusunu iyileştirdi.
training_run,ae_mse_l128_e60_plateau,ae,mse,mse,128,32,none,128,95,0.9117919999999999,0.779,0.9698046181172292,0.728,0.8316831683168316,0.068,233,17,204,546,92,0.368,0,0,outputs/experiments/ae_mse_l128_e60_plateau,AE-MSE 60 epoch + ReduceLROnPlateau denemesi; validation loss'u düşürdü ve top-k score ile yeni en iyi final adayını verdi.
training_run,ae_mse_l128_e60_plateau_bn,ae,mse,mse,128,32,none,128,95,0.9126986666666668,0.786,0.9668989547038328,0.74,0.8383685800604229,0.076,231,19,195,555,99,0.396,0,0,outputs/experiments/ae_mse_l128_e60_plateau_bn,AE-MSE 60 epoch + ReduceLROnPlateau + BatchNorm denemesi; validation loss'u ve top-k score metriklerini biraz daha iyileştirdi.
training_run,ae_mse_l256,ae,mse,mse,256,32,none,128,95,0.9092693333333333,0.776,0.9781818181818182,0.7173333333333334,0.8276923076923077,0.048,238,12,212,538,88,0.352,0,0,outputs/experiments/ae_mse_l256,"Latent 256 ablasyonu; MSE skorunda güçlü, top-k skorla da stabil."
training_run,ae_mse_l256_bs16,ae,mse,mse,256,16,none,128,95,0.9102080000000001,0.775,0.9746835443037974,0.7186666666666667,0.827321565617805,0.056,236,14,211,539,88,0.352,0,0,outputs/experiments/ae_mse_l256_bs16,"Batch size 16 denemesi; MSE'de güçlü, top-k AUROC en yükseklerden biri."
training_run,ae_mse_l256_bs16_crop,ae,mse,mse,256,16,content,128,95,0.8767146666666666,0.732,0.9616858237547893,0.6693333333333333,0.789308176100629,0.08,230,20,248,502,91,0.364,0,0,outputs/experiments/ae_mse_l256_bs16_crop,Content crop denemesi; DRUSEN biraz artsa da genel performans düşük.
training_run,ae_mse_l256_bs32_retina_margin,ae,mse,mse,256,32,retina_margin,128,95,0.8862079999999999,0.751,0.9630314232902033,0.6946666666666667,0.8071262587141751,0.08,230,20,229,521,96,0.384,0,0,outputs/experiments/ae_mse_l256_bs32_retina_margin,Retina margin crop denemesi; DRUSEN yakalama arttı ancak FPR ve genel metrikler zayıfladı.
training_run,ae_mse_l256_bs64,ae,mse,mse,256,64,none,128,95,0.9058453333333333,0.762,0.9740740740740741,0.7013333333333334,0.8155038759689922,0.056,236,14,224,526,81,0.324,0,0,outputs/experiments/ae_mse_l256_bs64,Batch size 64 denemesi; batch size 16/32'ye göre daha zayıf.
training_run,ae_mse_l64,ae,mse,mse,64,32,none,128,95,0.9124320000000001,0.77,0.9727272727272728,0.7133333333333334,0.823076923076923,0.06,235,15,215,535,85,0.34,0,0,outputs/experiments/ae_mse_l64,Latent 64 ablasyonu; MSE skorunda güçlü ama top-k skorla l128/l256 gerisinde.
training_run,ae_mse_ssim_l128,ae,mse_ssim,mse_ssim,128,32,none,128,95,0.7856906666666668,0.617,0.919908466819222,0.536,0.6773378264532435,0.14,215,35,348,402,59,0.236,0,0,outputs/experiments/ae_mse_ssim_l128,MSE+SSIM training loss denemesi; bu veri ve ayarda zayıf kaldı.
training_run,vae_msekl_l128,vae,vae_mse_kl,mse,128,32,none,128,95,0.8757866666666666,0.692,0.9702127659574468,0.608,0.7475409836065574,0.056,236,14,294,456,41,0.164,0,0,outputs/experiments/vae_msekl_l128,VAE + KL denemesi; generative latent model beklenen iyileştirmeyi sağlamadı.
score_ablation_image_level,ae_mse_l128,,,topk_mse_5,,,,,95,0.9436746666666668,0.788,0.9873188405797102,0.7266666666666667,0.837173579109063,0.028,243,7,205,545,,,,,outputs/score_ablation/ae_mse_l128,Mevcut checkpoint yeniden eğitilmeden farklı anomaly score'lar ile değerlendirildi; top-k residual skorlar en güçlü çıktı.
score_ablation_image_level,ae_mse_l128_e60,,,topk_mse_5,,,,,95,0.945712,0.799,0.9910554561717352,0.7386666666666667,0.8464476699770818,0.02,245,5,196,554,,,,,outputs/score_ablation/ae_mse_l128_e60,Mevcut checkpoint yeniden eğitilmeden farklı anomaly score'lar ile değerlendirildi; top-k residual skorlar en güçlü çıktı.
score_ablation_image_level,ae_mse_l128_e60_plateau,,,topk_mse_5,,,,,95,0.9473653333333334,0.804,0.9859649122807016,0.7493333333333333,0.8515151515151516,0.032,242,8,188,562,,,,,outputs/score_ablation/ae_mse_l128_e60_plateau,Mevcut checkpoint yeniden eğitilmeden farklı anomaly score'lar ile değerlendirildi; top-k residual skorlar en güçlü çıktı.
score_ablation_image_level,ae_mse_l128_e60_plateau_bn,,,topk_mse_5,,,,,95,0.948736,0.813,0.9861830742659758,0.7613333333333333,0.8592927012791572,0.032,242,8,179,571,,,,,outputs/score_ablation/ae_mse_l128_e60_plateau_bn,Mevcut checkpoint yeniden eğitilmeden farklı anomaly score'lar ile değerlendirildi; top-k residual skorlar en güçlü çıktı.
score_ablation_image_level,ae_mse_l256,,,topk_mse_5,,,,,95,0.9437386666666668,0.784,0.9872262773722628,0.7213333333333334,0.8335901386748844,0.028,243,7,209,541,,,,,outputs/score_ablation/ae_mse_l256,Mevcut checkpoint yeniden eğitilmeden farklı anomaly score'lar ile değerlendirildi; top-k residual skorlar en güçlü çıktı.
score_ablation_image_level,ae_mse_l256_bs16,,,topk_mse_5,,,,,95,0.9453973333333332,0.786,0.9872727272727272,0.724,0.8353846153846154,0.028,243,7,207,543,,,,,outputs/score_ablation/ae_mse_l256_bs16,Mevcut checkpoint yeniden eğitilmeden farklı anomaly score'lar ile değerlendirildi; top-k residual skorlar en güçlü çıktı.
score_ablation_image_level,ae_mse_l64,,,topk_mse_5,,,,,95,0.938928,0.781,0.9853747714808044,0.7186666666666667,0.8311488049344642,0.032,242,8,211,539,,,,,outputs/score_ablation/ae_mse_l64,Mevcut checkpoint yeniden eğitilmeden farklı anomaly score'lar ile değerlendirildi; top-k residual skorlar en güçlü çıktı.
score_ablation_image_level,vae_msekl_l128,,,topk_mse_10,,,,,95,0.8839946666666666,0.691,0.976241900647948,0.6026666666666667,0.7452596867271228,0.044,239,11,298,452,,,,,outputs/score_ablation/vae_msekl_l128,Mevcut checkpoint yeniden eğitilmeden farklı anomaly score'lar ile değerlendirildi; top-k residual skorlar en güçlü çıktı.
score_ablation_patient_level,ae_mse_l128,,,topk_mse_5,,,,,95,0.9476187225521652,0.8569343065693431,0.9727272727272728,0.8326848249027238,0.8972746331236897,0.0701754385964912,159,12,86,428,,,,,outputs/score_ablation/ae_mse_l128/patient_level_comparison.csv,Hasta seviyesinde mean aggregation ile hesaplandı.
score_ablation_patient_level,ae_mse_l128_e60,,,topk_mse_5,,,,,95,0.9484834004596446,0.8569343065693431,0.9705882352941176,0.8346303501945526,0.897489539748954,0.0760233918128654,158,13,85,429,,,,,outputs/score_ablation/ae_mse_l128_e60/patient_level_comparison.csv,Hasta seviyesinde mean aggregation ile hesaplandı.
score_ablation_patient_level,ae_mse_l128_e60_plateau,,,topk_mse_5,,,,,95,0.9515552824993742,0.8686131386861314,0.9711111111111111,0.8501945525291829,0.9066390041493776,0.0760233918128654,158,13,77,437,,,,,outputs/score_ablation/ae_mse_l128_e60_plateau/patient_level_comparison.csv,Hasta seviyesinde mean aggregation ile hesaplandı.
score_ablation_patient_level,ae_mse_l128_e60_plateau_bn,,,topk_mse_5,,,,,95,0.9512708489771772,0.8715328467153285,0.9712389380530974,0.8540856031128404,0.9089026915113873,0.0760233918128654,158,13,75,439,,,,,outputs/score_ablation/ae_mse_l128_e60_plateau_bn/patient_level_comparison.csv,Hasta seviyesinde mean aggregation ile hesaplandı.
score_ablation_patient_level,ae_mse_l256,,,topk_mse_5,,,,,95,0.9477438733019318,0.8554744525547445,0.9726651480637812,0.830739299610895,0.8961175236096537,0.0701754385964912,159,12,87,427,,,,,outputs/score_ablation/ae_mse_l256/patient_level_comparison.csv,Hasta seviyesinde mean aggregation ile hesaplandı.
score_ablation_patient_level,ae_mse_l256_bs16,,,topk_mse_5,,,,,95,0.9500762281839488,0.8540145985401459,0.9662162162162162,0.8346303501945526,0.8956158663883089,0.087719298245614,156,15,85,429,,,,,outputs/score_ablation/ae_mse_l256_bs16/patient_level_comparison.csv,Hasta seviyesinde mean aggregation ile hesaplandı.
score_ablation_patient_level,ae_mse_l64,,,topk_mse_5,,,,,95,0.9421462215850912,0.8496350364963504,0.9702517162471396,0.8249027237354085,0.8916929547844374,0.0760233918128654,158,13,90,424,,,,,outputs/score_ablation/ae_mse_l64/patient_level_comparison.csv,Hasta seviyesinde mean aggregation ile hesaplandı.
score_ablation_patient_level,vae_msekl_l128,,,topk_mse_10,,,,,95,0.8895373973194984,0.7708029197080292,0.945137157107232,0.7373540856031129,0.8284153005464481,0.1286549707602339,149,22,135,379,,,,,outputs/score_ablation/vae_msekl_l128/patient_level_comparison.csv,Hasta seviyesinde mean aggregation ile hesaplandı.
preprocessing_preview,border_crop_preview,,,,,,ConservativeBorderCrop,,,,,,,,,,,,,,,,,outputs/preprocessing/border_crop_preview.png,Sadece kenar boşluklarını azaltan daha konservatif kırpma önizlemesi üretildi; full training'e alınmadı.
preprocessing_preview,content_crop_preview,,,,,,SafeContentCrop,,,,,,,,,,,,,,,,,outputs/preprocessing/content_crop_preview.png,İlk içerik tabanlı kırpma bazı görüntülerde fazla agresif bulundu; yine de full training denendi ve genel performansı düşürdü.
preprocessing_preview,retina_margin_crop_preview,,,,,,RetinaMarginCrop,,,,,,,,,,,,,,,,,outputs/preprocessing/retina_margin_crop_preview.png,Retina sinyaline göre üst/alt boşluk bırakan kırpma denendi; DRUSEN yakalama arttı fakat genel metrikler baseline'ın gerisinde kaldı.
