score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
topk_mse_5,0.018075861781835553,0.938928,0.781,0.9853747714808044,0.7186666666666667,0.8311488049344642,0.032,242,8,211,539
topk_mse_10,0.01114173009991644,0.9325653333333334,0.781,0.9836065573770492,0.72,0.8314087759815243,0.036,241,9,210,540
ensemble_all_base,2.174775012379204,0.9197813333333333,0.773,0.9815837937384899,0.7106666666666667,0.8244392884764115,0.04,240,10,217,533
ensemble_mse_retina,2.073012820989179,0.9133866666666667,0.77,0.9761904761904762,0.7106666666666667,0.8225308641975309,0.052,237,13,217,533
mse,0.001547530526295304,0.9124320000000001,0.77,0.9727272727272728,0.7133333333333334,0.823076923076923,0.06,235,15,215,535
retina_weighted_mse,0.0017975956434383965,0.9118000000000002,0.771,0.9833024118738405,0.7066666666666667,0.8223429014740109,0.036,241,9,220,530
retina_band_mse,0.0019609381444752215,0.906304,0.76,0.9793233082706767,0.6946666666666667,0.8127925117004681,0.044,239,11,229,521
ensemble_mse_l1_retina,1.9484178673089734,0.9019946666666667,0.767,0.970856102003643,0.7106666666666667,0.8206312548113934,0.064,234,16,217,533
ensemble_mse_l1,2.0935396013043834,0.89392,0.757,0.9720670391061452,0.696,0.8111888111888111,0.06,235,15,228,522
l1,0.025272920727729794,0.8566560000000001,0.716,0.9568627450980393,0.6506666666666666,0.7746031746031746,0.088,228,22,262,488
